      1  -3.813
      2  -2.842
      3  -2.600
      4  -2.830
      5  -2.348
      6  -2.556
      7  -2.697
      8  -2.180
      9  -2.093
     10  -1.567
     11  -1.774
     12  -1.573
     13  -1.311
     14  -1.640
     15  -2.056
     16  -1.767
     17  -2.037
     18  -1.624
     19  -2.224
     20  -1.628
     21  -2.184
     22  -2.411
     23  -3.151
     24  -2.729
     25  -2.444
     26  -2.700
     27  -2.870
     28  -2.792
     29  -3.753
     30  -2.838
     31  -3.288
     32  -2.305
     33  -1.845
     34  -2.762
     35  -2.623
     36  -2.808
     37  -3.027
     38  -2.738
     39  -2.483
     40  -3.155
     41  -2.629
     42  -2.855
     43  -2.608
     44  -2.492
     45  -2.634
     46  -2.648
     47  -2.412
     48  -1.907
     49  -2.208
     50  -2.526
     51  -2.704
     52  -2.552
     53  -1.904
     54  -1.791
     55  -2.232
     56  -2.371
     57  -2.869
     58  -2.929
     59  -2.525
     60  -2.988
     61  -3.061
     62  -2.130
     63  -2.662
     64  -2.892
     65  -3.049
     66  -3.147
     67  -2.993
     68  -3.378
     69  -3.099
     70  -3.024
     71  -2.668
     72  -2.259
     73  -2.018
     74  -2.563
     75  -3.394
     76  -3.395
     77  -3.122
     78  -2.376
     79  -2.744
     80  -2.862
     81  -3.167
     82  -3.052
     83  -3.421
     84  -3.765
     85  -3.367
     86  -2.955
     87  -3.589
     88  -3.053
     89  -3.812
     90  -4.007
     91  -3.168
     92  -3.856
     93  -3.127
     94  -2.791
     95  -2.713
     96  -3.330
     97  -4.049
     98  -3.545
     99  -3.224
    100  -3.936
    101  -4.014
