      0  -3.993
      1  -3.808
      2  -2.838
      3  -2.596
      4  -2.826
      5  -2.344
      6  -2.551
      7  -2.692
      8  -2.175
      9  -2.088
     10  -1.563
     11  -1.770
     12  -1.568
     13  -1.306
     14  -1.636
     15  -2.051
     16  -1.763
     17  -2.033
     18  -1.620
     19  -2.220
     20  -1.623
     21  -2.179
     22  -2.407
     23  -3.147
     24  -2.724
     25  -2.439
     26  -2.695
     27  -2.865
     28  -2.787
     29  -3.748
     30  -2.834
     31  -3.283
     32  -2.300
     33  -1.840
     34  -2.758
     35  -2.618
     36  -2.804
     37  -3.022
     38  -2.734
     39  -2.479
     40  -3.151
     41  -2.625
     42  -2.851
     43  -2.603
     44  -2.488
     45  -2.630
     46  -2.643
     47  -2.407
     48  -1.903
     49  -2.203
     50  -2.522
     51  -2.699
     52  -2.547
     53  -1.899
     54  -1.787
     55  -2.227
     56  -2.366
     57  -2.865
     58  -2.925
     59  -2.520
     60  -2.983
     61  -3.056
     62  -2.125
     63  -2.657
     64  -2.887
     65  -3.044
     66  -3.142
     67  -2.988
     68  -3.373
     69  -3.094
     70  -3.019
     71  -2.663
     72  -2.254
     73  -2.014
     74  -2.558
     75  -3.390
     76  -3.390
     77  -3.117
     78  -2.371
     79  -2.739
     80  -2.857
     81  -3.162
     82  -3.047
     83  -3.417
     84  -3.760
     85  -3.362
     86  -2.950
     87  -3.584
     88  -3.048
     89  -3.807
     90  -4.003
     91  -3.163
     92  -3.852
     93  -3.123
     94  -2.786
     95  -2.709
     96  -3.325
     97  -4.044
     98  -3.540
     99  -3.220
    100  -3.931
    101  -4.010
