     1    1619
     2    1738
     3    1779
     4    1756
     5    1921
     6    1876
     7    1954
     8    1998
     9    1961
    10    1979
    11    2035
    12    1925
    13    2125
    14    2073
    15    2064
    16    2035
    17    2038
    18    2058
    19    1972
    20    2118
    21    2026
    22    2088
    23    2100
    24    2072
    25    2021
    26    1902
    27    2079
    28    2114
    29    2162
    30    2145
    31    2131
    32    2110
    33    2131
    34    2070
    35    2026
    36    2058
    37    2130
    38    2063
    39    2038
    40    2219
    41    2126
    42    2209
    43    2145
    44    2131
    45    2139
    46    2133
    47    2091
    48    2096
    49    2007
    50    2131
    51    2077
    52    2075
    53    2180
    54    2184
    55    2168
    56    2050
    57    2032
    58    2170
    59    2082
    60    2137
    61    2134
    62    2114
    63    2154
    64    2217
    65    2213
    66    2184
    67    2109
    68    2149
    69    2240
    70    2227
    71    2192
    72    2206
    73    2187
    74    2232
    75    2269
    76    2227
    77    2126
    78    2279
    79    2192
    80    2155
    81    2249
    82    2148
    83    2254
    84    2218
    85    2235
    86    2245
    87    2189
    88    2212
    89    2182
    90    2212
    91    2214
    92    2167
    93    2168
    94    2158
    95    2212
    96    2115
    97    2131
    98    2147
    99    2149
   100    2278
   101    2247
